"Participant","Results.reception.time","Controller.name","Order.number.of.item","Inner.element.number","Label","Latin.Square.Group","PennElementType","PennElementName","Parameter","EventTime","id","Item","Item2","Condition","Factor1","Factor2","Factor3","Comments","Country","Fluent","School","Home","English","Rating","z","Antecedent","Noun"
"071061939d5b5a658bbfbc03a625e935",1673744595,"PennController",23,0,"experiment","NULL","Scale","Scale","Choice",1673744237537,"61142f08e9170054c5d13402","13","t13","b","each","people","claim","NULL","Texas%2C United States","English","English","English","English",6,0.436049215512384,"each","people"
"071061939d5b5a658bbfbc03a625e935",1673744595,"PennController",32,0,"experiment","NULL","Scale","Scale","Choice",1673744260520,"61142f08e9170054c5d13402","22","t22","a","each","person","boast","NULL","Texas%2C United States","English","English","English","English",5,-0.0927764288324218,"each","person"
"071061939d5b5a658bbfbc03a625e935",1673744595,"PennController",33,0,"experiment","NULL","Scale","Scale","Choice",1673744278690,"61142f08e9170054c5d13402","23","t23","d","all","people","believe","NULL","Texas%2C United States","English","English","English","English",6,0.436049215512384,"all","people"
"071061939d5b5a658bbfbc03a625e935",1673744595,"PennController",22,0,"experiment","NULL","Scale","Scale","Choice",1673744290922,"61142f08e9170054c5d13402","12","t12","c","all","person","think","NULL","Texas%2C United States","English","English","English","English",7,0.964874859857189,"all","person"
"071061939d5b5a658bbfbc03a625e935",1673744595,"PennController",12,0,"experiment","NULL","Scale","Scale","Choice",1673744307012,"61142f08e9170054c5d13402","2","t02","a","each","person","believe","NULL","Texas%2C United States","English","English","English","English",7,0.964874859857189,"each","person"
"071061939d5b5a658bbfbc03a625e935",1673744595,"PennController",11,0,"experiment","NULL","Scale","Scale","Choice",1673744341188,"61142f08e9170054c5d13402","1","t01","b","each","people","think","NULL","Texas%2C United States","English","English","English","English",7,0.964874859857189,"each","people"
"071061939d5b5a658bbfbc03a625e935",1673744595,"PennController",25,0,"experiment","NULL","Scale","Scale","Choice",1673744352682,"61142f08e9170054c5d13402","15","t15","d","all","people","boast","NULL","Texas%2C United States","English","English","English","English",6,0.436049215512384,"all","people"
"071061939d5b5a658bbfbc03a625e935",1673744595,"PennController",18,0,"experiment","NULL","Scale","Scale","Choice",1673744360787,"61142f08e9170054c5d13402","8","t08","c","all","person","claim","NULL","Texas%2C United States","English","English","English","English",5,-0.0927764288324218,"all","person"
"071061939d5b5a658bbfbc03a625e935",1673744595,"PennController",24,0,"experiment","NULL","Scale","Scale","Choice",1673744379275,"61142f08e9170054c5d13402","14","t14","a","each","person","think","NULL","Texas%2C United States","English","English","English","English",6,0.436049215512384,"each","person"
"071061939d5b5a658bbfbc03a625e935",1673744595,"PennController",14,0,"experiment","NULL","Scale","Scale","Choice",1673744391523,"61142f08e9170054c5d13402","4","t04","c","all","person","claim","NULL","Texas%2C United States","English","English","English","English",6,0.436049215512384,"all","person"
"071061939d5b5a658bbfbc03a625e935",1673744595,"PennController",27,0,"experiment","NULL","Scale","Scale","Choice",1673744412275,"61142f08e9170054c5d13402","17","t17","b","each","people","worry","NULL","Texas%2C United States","English","English","English","English",6,0.436049215512384,"each","people"
"071061939d5b5a658bbfbc03a625e935",1673744595,"PennController",13,0,"experiment","NULL","Scale","Scale","Choice",1673744423609,"61142f08e9170054c5d13402","3","t03","d","all","people","profess","NULL","Texas%2C United States","English","English","English","English",7,0.964874859857189,"all","people"
"071061939d5b5a658bbfbc03a625e935",1673744595,"PennController",31,0,"experiment","NULL","Scale","Scale","Choice",1673744462595,"61142f08e9170054c5d13402","21","t21","b","each","people","claim","NULL","Texas%2C United States","English","English","English","English",6,0.436049215512384,"each","people"
"071061939d5b5a658bbfbc03a625e935",1673744595,"PennController",17,0,"experiment","NULL","Scale","Scale","Choice",1673744475527,"61142f08e9170054c5d13402","7","t07","d","all","people","believe","NULL","Texas%2C United States","English","English","English","English",7,0.964874859857189,"all","people"
"071061939d5b5a658bbfbc03a625e935",1673744595,"PennController",16,0,"experiment","NULL","Scale","Scale","Choice",1673744482219,"61142f08e9170054c5d13402","6","t06","a","each","person","boast","NULL","Texas%2C United States","English","English","English","English",7,0.964874859857189,"each","person"
"071061939d5b5a658bbfbc03a625e935",1673744595,"PennController",20,0,"experiment","NULL","Scale","Scale","Choice",1673744486146,"61142f08e9170054c5d13402","10","t10","a","each","person","profess","NULL","Texas%2C United States","English","English","English","English",7,0.964874859857189,"each","person"
"071061939d5b5a658bbfbc03a625e935",1673744595,"PennController",34,0,"experiment","NULL","Scale","Scale","Choice",1673744492181,"61142f08e9170054c5d13402","24","t24","c","all","person","think","NULL","Texas%2C United States","English","English","English","English",6,0.436049215512384,"all","person"
"071061939d5b5a658bbfbc03a625e935",1673744595,"PennController",15,0,"experiment","NULL","Scale","Scale","Choice",1673744513968,"61142f08e9170054c5d13402","5","t05","b","each","people","worry","NULL","Texas%2C United States","English","English","English","English",5,-0.0927764288324218,"each","people"
"071061939d5b5a658bbfbc03a625e935",1673744595,"PennController",21,0,"experiment","NULL","Scale","Scale","Choice",1673744529471,"61142f08e9170054c5d13402","11","t11","d","all","people","worry","NULL","Texas%2C United States","English","English","English","English",7,0.964874859857189,"all","people"
"071061939d5b5a658bbfbc03a625e935",1673744595,"PennController",29,0,"experiment","NULL","Scale","Scale","Choice",1673744549782,"61142f08e9170054c5d13402","19","t19","d","all","people","worry","NULL","Texas%2C United States","English","English","English","English",7,0.964874859857189,"all","people"
"071061939d5b5a658bbfbc03a625e935",1673744595,"PennController",30,0,"experiment","NULL","Scale","Scale","Choice",1673744562330,"61142f08e9170054c5d13402","20","t20","c","all","person","profess","NULL","Texas%2C United States","English","English","English","English",7,0.964874859857189,"all","person"
"071061939d5b5a658bbfbc03a625e935",1673744595,"PennController",19,0,"experiment","NULL","Scale","Scale","Choice",1673744565960,"61142f08e9170054c5d13402","9","t09","b","each","people","boast","NULL","Texas%2C United States","English","English","English","English",7,0.964874859857189,"each","people"
"08ac5da330403ec17c45cdbb98ad18a2",1673745026,"PennController",26,0,"experiment","NULL","Scale","Scale","Choice",1673744673504,"5df85a74946e975e7f13abbf","16","t16","c","all","person","believe","NULL","California","English","English","English","English",3,-0.915871418592044,"all","person"
"08ac5da330403ec17c45cdbb98ad18a2",1673745026,"PennController",24,0,"experiment","NULL","Scale","Scale","Choice",1673744691488,"5df85a74946e975e7f13abbf","14","t14","a","each","person","think","NULL","California","English","English","English","English",5,0.0691223712144941,"each","person"
"08ac5da330403ec17c45cdbb98ad18a2",1673745026,"PennController",14,0,"experiment","NULL","Scale","Scale","Choice",1673744737372,"5df85a74946e975e7f13abbf","4","t04","c","all","person","claim","NULL","California","English","English","English","English",7,1.05411616102103,"all","person"
"08ac5da330403ec17c45cdbb98ad18a2",1673745026,"PennController",27,0,"experiment","NULL","Scale","Scale","Choice",1673744746656,"5df85a74946e975e7f13abbf","17","t17","b","each","people","worry","NULL","California","English","English","English","English",6,0.561619266117763,"each","people"
"08ac5da330403ec17c45cdbb98ad18a2",1673745026,"PennController",21,0,"experiment","NULL","Scale","Scale","Choice",1673744752789,"5df85a74946e975e7f13abbf","11","t11","d","all","people","worry","NULL","California","English","English","English","English",4,-0.423374523688775,"all","people"
"08ac5da330403ec17c45cdbb98ad18a2",1673745026,"PennController",15,0,"experiment","NULL","Scale","Scale","Choice",1673744758338,"5df85a74946e975e7f13abbf","5","t05","b","each","people","worry","NULL","California","English","English","English","English",3,-0.915871418592044,"each","people"
"08ac5da330403ec17c45cdbb98ad18a2",1673745026,"PennController",13,0,"experiment","NULL","Scale","Scale","Choice",1673744773774,"5df85a74946e975e7f13abbf","3","t03","d","all","people","profess","NULL","California","English","English","English","English",5,0.0691223712144941,"all","people"
"08ac5da330403ec17c45cdbb98ad18a2",1673745026,"PennController",29,0,"experiment","NULL","Scale","Scale","Choice",1673744776656,"5df85a74946e975e7f13abbf","19","t19","d","all","people","worry","NULL","California","English","English","English","English",5,0.0691223712144941,"all","people"
"08ac5da330403ec17c45cdbb98ad18a2",1673745026,"PennController",23,0,"experiment","NULL","Scale","Scale","Choice",1673744798507,"5df85a74946e975e7f13abbf","13","t13","b","each","people","claim","NULL","California","English","English","English","English",4,-0.423374523688775,"each","people"
"08ac5da330403ec17c45cdbb98ad18a2",1673745026,"PennController",11,0,"experiment","NULL","Scale","Scale","Choice",1673744803571,"5df85a74946e975e7f13abbf","1","t01","b","each","people","think","NULL","California","English","English","English","English",6,0.561619266117763,"each","people"
"08ac5da330403ec17c45cdbb98ad18a2",1673745026,"PennController",17,0,"experiment","NULL","Scale","Scale","Choice",1673744836475,"5df85a74946e975e7f13abbf","7","t07","d","all","people","believe","NULL","California","English","English","English","English",6,0.561619266117763,"all","people"
"08ac5da330403ec17c45cdbb98ad18a2",1673745026,"PennController",25,0,"experiment","NULL","Scale","Scale","Choice",1673744841088,"5df85a74946e975e7f13abbf","15","t15","d","all","people","boast","NULL","California","English","English","English","English",5,0.0691223712144941,"all","people"
"08ac5da330403ec17c45cdbb98ad18a2",1673745026,"PennController",18,0,"experiment","NULL","Scale","Scale","Choice",1673744872775,"5df85a74946e975e7f13abbf","8","t08","c","all","person","claim","NULL","California","English","English","English","English",4,-0.423374523688775,"all","person"
"08ac5da330403ec17c45cdbb98ad18a2",1673745026,"PennController",12,0,"experiment","NULL","Scale","Scale","Choice",1673744895225,"5df85a74946e975e7f13abbf","2","t02","a","each","person","believe","NULL","California","English","English","English","English",3,-0.915871418592044,"each","person"
"08ac5da330403ec17c45cdbb98ad18a2",1673745026,"PennController",22,0,"experiment","NULL","Scale","Scale","Choice",1673744913338,"5df85a74946e975e7f13abbf","12","t12","c","all","person","think","NULL","California","English","English","English","English",4,-0.423374523688775,"all","person"
"08ac5da330403ec17c45cdbb98ad18a2",1673745026,"PennController",19,0,"experiment","NULL","Scale","Scale","Choice",1673744935374,"5df85a74946e975e7f13abbf","9","t09","b","each","people","boast","NULL","California","English","English","English","English",3,-0.915871418592044,"each","people"
"08ac5da330403ec17c45cdbb98ad18a2",1673745026,"PennController",31,0,"experiment","NULL","Scale","Scale","Choice",1673744966341,"5df85a74946e975e7f13abbf","21","t21","b","each","people","claim","NULL","California","English","English","English","English",3,-0.915871418592044,"each","people"
"08ac5da330403ec17c45cdbb98ad18a2",1673745026,"PennController",20,0,"experiment","NULL","Scale","Scale","Choice",1673744969339,"5df85a74946e975e7f13abbf","10","t10","a","each","person","profess","NULL","California","English","English","English","English",3,-0.915871418592044,"each","person"
"08ac5da330403ec17c45cdbb98ad18a2",1673745026,"PennController",34,0,"experiment","NULL","Scale","Scale","Choice",1673744989608,"5df85a74946e975e7f13abbf","24","t24","c","all","person","think","NULL","California","English","English","English","English",3,-0.915871418592044,"all","person"
"08ac5da330403ec17c45cdbb98ad18a2",1673745026,"PennController",30,0,"experiment","NULL","Scale","Scale","Choice",1673744991955,"5df85a74946e975e7f13abbf","20","t20","c","all","person","profess","NULL","California","English","English","English","English",3,-0.915871418592044,"all","person"
"08ac5da330403ec17c45cdbb98ad18a2",1673745026,"PennController",28,0,"experiment","NULL","Scale","Scale","Choice",1673744994622,"5df85a74946e975e7f13abbf","18","t18","a","each","person","profess","NULL","California","English","English","English","English",3,-0.915871418592044,"each","person"
"08ac5da330403ec17c45cdbb98ad18a2",1673745026,"PennController",33,0,"experiment","NULL","Scale","Scale","Choice",1673744996108,"5df85a74946e975e7f13abbf","23","t23","d","all","people","believe","NULL","California","English","English","English","English",3,-0.915871418592044,"all","people"
"08ac5da330403ec17c45cdbb98ad18a2",1673745026,"PennController",32,0,"experiment","NULL","Scale","Scale","Choice",1673744997390,"5df85a74946e975e7f13abbf","22","t22","a","each","person","boast","NULL","California","English","English","English","English",3,-0.915871418592044,"each","person"
"08ac5da330403ec17c45cdbb98ad18a2",1673745026,"PennController",16,0,"experiment","NULL","Scale","Scale","Choice",1673744998705,"5df85a74946e975e7f13abbf","6","t06","a","each","person","boast","NULL","California","English","English","English","English",3,-0.915871418592044,"each","person"
"153216a5e72ca467b6fc5f0c90e94e4a",1673838704,"PennController",25,0,"experiment","NULL","Scale","Scale","Choice",1673838395084,"6111829b9532c14d4d764ac6","15","t15","b","each","people","boast","NULL","California","English","English","English","English",6,0.592767584583355,"each","people"
"153216a5e72ca467b6fc5f0c90e94e4a",1673838704,"PennController",30,0,"experiment","NULL","Scale","Scale","Choice",1673838432437,"6111829b9532c14d4d764ac6","20","t20","a","each","person","profess","NULL","California","English","English","English","English",6,0.592767584583355,"each","person"
"153216a5e72ca467b6fc5f0c90e94e4a",1673838704,"PennController",34,0,"experiment","NULL","Scale","Scale","Choice",1673838450808,"6111829b9532c14d4d764ac6","24","t24","a","each","person","think","NULL","California","English","English","English","English",6,0.592767584583355,"each","person"
"153216a5e72ca467b6fc5f0c90e94e4a",1673838704,"PennController",14,0,"experiment","NULL","Scale","Scale","Choice",1673838479233,"6111829b9532c14d4d764ac6","4","t04","a","each","person","claim","NULL","California","English","English","English","English",6,0.592767584583355,"each","person"
"153216a5e72ca467b6fc5f0c90e94e4a",1673838704,"PennController",12,0,"experiment","NULL","Scale","Scale","Choice",1673838487847,"6111829b9532c14d4d764ac6","2","t02","c","all","person","believe","NULL","California","English","English","English","English",7,1.13773133170031,"all","person"
"153216a5e72ca467b6fc5f0c90e94e4a",1673838704,"PennController",17,0,"experiment","NULL","Scale","Scale","Choice",1673838494564,"6111829b9532c14d4d764ac6","7","t07","b","each","people","believe","NULL","California","English","English","English","English",7,1.13773133170031,"each","people"
"153216a5e72ca467b6fc5f0c90e94e4a",1673838704,"PennController",16,0,"experiment","NULL","Scale","Scale","Choice",1673838500991,"6111829b9532c14d4d764ac6","6","t06","c","all","person","boast","NULL","California","English","English","English","English",6,0.592767584583355,"all","person"
"153216a5e72ca467b6fc5f0c90e94e4a",1673838704,"PennController",26,0,"experiment","NULL","Scale","Scale","Choice",1673838525422,"6111829b9532c14d4d764ac6","16","t16","a","each","person","believe","NULL","California","English","English","English","English",6,0.592767584583355,"each","person"
"153216a5e72ca467b6fc5f0c90e94e4a",1673838704,"PennController",27,0,"experiment","NULL","Scale","Scale","Choice",1673838530226,"6111829b9532c14d4d764ac6","17","t17","d","all","people","worry","NULL","California","English","English","English","English",5,0.0478038374663995,"all","people"
"153216a5e72ca467b6fc5f0c90e94e4a",1673838704,"PennController",31,0,"experiment","NULL","Scale","Scale","Choice",1673838549878,"6111829b9532c14d4d764ac6","21","t21","d","all","people","claim","NULL","California","English","English","English","English",5,0.0478038374663995,"all","people"
"153216a5e72ca467b6fc5f0c90e94e4a",1673838704,"PennController",33,0,"experiment","NULL","Scale","Scale","Choice",1673838555943,"6111829b9532c14d4d764ac6","23","t23","b","each","people","believe","NULL","California","English","English","English","English",2,-1.58708740388447,"each","people"
"153216a5e72ca467b6fc5f0c90e94e4a",1673838704,"PennController",13,0,"experiment","NULL","Scale","Scale","Choice",1673838563468,"6111829b9532c14d4d764ac6","3","t03","b","each","people","profess","NULL","California","English","English","English","English",5,0.0478038374663995,"each","people"
"153216a5e72ca467b6fc5f0c90e94e4a",1673838704,"PennController",22,0,"experiment","NULL","Scale","Scale","Choice",1673838574072,"6111829b9532c14d4d764ac6","12","t12","a","each","person","think","NULL","California","English","English","English","English",6,0.592767584583355,"each","person"
"153216a5e72ca467b6fc5f0c90e94e4a",1673838704,"PennController",20,0,"experiment","NULL","Scale","Scale","Choice",1673838581221,"6111829b9532c14d4d764ac6","10","t10","c","all","person","profess","NULL","California","English","English","English","English",6,0.592767584583355,"all","person"
"153216a5e72ca467b6fc5f0c90e94e4a",1673838704,"PennController",18,0,"experiment","NULL","Scale","Scale","Choice",1673838587015,"6111829b9532c14d4d764ac6","8","t08","a","each","person","claim","NULL","California","English","English","English","English",4,-0.497159909650556,"each","person"
"153216a5e72ca467b6fc5f0c90e94e4a",1673838704,"PennController",21,0,"experiment","NULL","Scale","Scale","Choice",1673838602228,"6111829b9532c14d4d764ac6","11","t11","b","each","people","worry","NULL","California","English","English","English","English",5,0.0478038374663995,"each","people"
"153216a5e72ca467b6fc5f0c90e94e4a",1673838704,"PennController",28,0,"experiment","NULL","Scale","Scale","Choice",1673838613964,"6111829b9532c14d4d764ac6","18","t18","c","all","person","profess","NULL","California","English","English","English","English",5,0.0478038374663995,"all","person"
"153216a5e72ca467b6fc5f0c90e94e4a",1673838704,"PennController",29,0,"experiment","NULL","Scale","Scale","Choice",1673838634921,"6111829b9532c14d4d764ac6","19","t19","b","each","people","worry","NULL","California","English","English","English","English",6,0.592767584583355,"each","people"
"153216a5e72ca467b6fc5f0c90e94e4a",1673838704,"PennController",15,0,"experiment","NULL","Scale","Scale","Choice",1673838640678,"6111829b9532c14d4d764ac6","5","t05","d","all","people","worry","NULL","California","English","English","English","English",5,0.0478038374663995,"all","people"
"153216a5e72ca467b6fc5f0c90e94e4a",1673838704,"PennController",11,0,"experiment","NULL","Scale","Scale","Choice",1673838655981,"6111829b9532c14d4d764ac6","1","t01","d","all","people","think","NULL","California","English","English","English","English",6,0.592767584583355,"all","people"
"153216a5e72ca467b6fc5f0c90e94e4a",1673838704,"PennController",23,0,"experiment","NULL","Scale","Scale","Choice",1673838661372,"6111829b9532c14d4d764ac6","13","t13","d","all","people","claim","NULL","California","English","English","English","English",5,0.0478038374663995,"all","people"
"153216a5e72ca467b6fc5f0c90e94e4a",1673838704,"PennController",32,0,"experiment","NULL","Scale","Scale","Choice",1673838666647,"6111829b9532c14d4d764ac6","22","t22","c","all","person","boast","NULL","California","English","English","English","English",5,0.0478038374663995,"all","person"
"153216a5e72ca467b6fc5f0c90e94e4a",1673838704,"PennController",24,0,"experiment","NULL","Scale","Scale","Choice",1673838673122,"6111829b9532c14d4d764ac6","14","t14","c","all","person","think","NULL","California","English","English","English","English",5,0.0478038374663995,"all","person"
"153216a5e72ca467b6fc5f0c90e94e4a",1673838704,"PennController",19,0,"experiment","NULL","Scale","Scale","Choice",1673838678257,"6111829b9532c14d4d764ac6","9","t09","d","all","people","boast","NULL","California","English","English","English","English",6,0.592767584583355,"all","people"
"17ecfe7408eef32f0cbbb542c69166be",1673745932,"PennController",30,0,"experiment","NULL","Scale","Scale","Choice",1673745225878,"5f34c4870288603e56eccc60","20","t20","c","all","person","profess","NULL","Illinois","English","English","English","English",5,0.160128153805087,"all","person"
"17ecfe7408eef32f0cbbb542c69166be",1673745932,"PennController",16,0,"experiment","NULL","Scale","Scale","Choice",1673745241277,"5f34c4870288603e56eccc60","6","t06","a","each","person","boast","NULL","Illinois","English","English","English","English",5,0.160128153805087,"each","person"
"17ecfe7408eef32f0cbbb542c69166be",1673745932,"PennController",33,0,"experiment","NULL","Scale","Scale","Choice",1673745271401,"5f34c4870288603e56eccc60","23","t23","d","all","people","believe","NULL","Illinois","English","English","English","English",4,-0.320256307610174,"all","people"
"17ecfe7408eef32f0cbbb542c69166be",1673745932,"PennController",25,0,"experiment","NULL","Scale","Scale","Choice",1673745361271,"5f34c4870288603e56eccc60","15","t15","d","all","people","boast","NULL","Illinois","English","English","English","English",6,0.640512615220348,"all","people"
"17ecfe7408eef32f0cbbb542c69166be",1673745932,"PennController",19,0,"experiment","NULL","Scale","Scale","Choice",1673745392491,"5f34c4870288603e56eccc60","9","t09","b","each","people","boast","NULL","Illinois","English","English","English","English",5,0.160128153805087,"each","people"
"17ecfe7408eef32f0cbbb542c69166be",1673745932,"PennController",20,0,"experiment","NULL","Scale","Scale","Choice",1673745553650,"5f34c4870288603e56eccc60","10","t10","a","each","person","profess","NULL","Illinois","English","English","English","English",6,0.640512615220348,"each","person"
"17ecfe7408eef32f0cbbb542c69166be",1673745932,"PennController",14,0,"experiment","NULL","Scale","Scale","Choice",1673745559523,"5f34c4870288603e56eccc60","4","t04","c","all","person","claim","NULL","Illinois","English","English","English","English",7,1.12089707663561,"all","person"
"17ecfe7408eef32f0cbbb542c69166be",1673745932,"PennController",11,0,"experiment","NULL","Scale","Scale","Choice",1673745567202,"5f34c4870288603e56eccc60","1","t01","b","each","people","think","NULL","Illinois","English","English","English","English",5,0.160128153805087,"each","people"
"17ecfe7408eef32f0cbbb542c69166be",1673745932,"PennController",13,0,"experiment","NULL","Scale","Scale","Choice",1673745601493,"5f34c4870288603e56eccc60","3","t03","d","all","people","profess","NULL","Illinois","English","English","English","English",5,0.160128153805087,"all","people"
"17ecfe7408eef32f0cbbb542c69166be",1673745932,"PennController",15,0,"experiment","NULL","Scale","Scale","Choice",1673745609495,"5f34c4870288603e56eccc60","5","t05","b","each","people","worry","NULL","Illinois","English","English","English","English",5,0.160128153805087,"each","people"
"17ecfe7408eef32f0cbbb542c69166be",1673745932,"PennController",27,0,"experiment","NULL","Scale","Scale","Choice",1673745623680,"5f34c4870288603e56eccc60","17","t17","b","each","people","worry","NULL","Illinois","English","English","English","English",4,-0.320256307610174,"each","people"
